"entity_id","entity_name","entity_type","entity_description","entity_aliases","case_match"
"DOC-PROC-001","Document Processing Service","A-C","Top-level component responsible for ingesting raw documents and transforming them into structured markdown","DPS,Doc Processor","insensitive"
"ING-CTRL-001","Ingestion Controller","A-C","Handles upload validation hashing storage and queuing of incoming documents","IC,Ingest Controller","insensitive"
"DNS-XFR-001","Denoise Transformer","A-C","Cleans raw markdown by removing artifacts boilerplate and normalizing whitespace","DT,Denoiser","insensitive"
"VIS-ANZ-001","Vision Analyzer","A-C","Processes embedded images and diagrams to extract structured data and descriptions","VA,Vision Proc","insensitive"
"FIL-STR-001","File Store","A-C","Persists raw uploaded bytes to disk with path management and cleanup","FS","insensitive"
"EXT-DAE-001","Extract Daemon","A-C","Background process that polls for uploaded documents and drives the extraction pipeline","ED,Pipeline Driver","insensitive"
"EIG-001","Enterprise Integration Gateway","A-C","Central communication hub for secure monitored data exchange between internal and external systems","EIG,Integration GW","insensitive"
"MSG-RTR-001","Message Router","A-C","Queue manager that enriches and routes messages to internal consumers","MR,Router","insensitive"
"XFR-ENG-001","Transform Engine","A-C","Converts data between JSON XML and markdown formats for cross-system communication","TE,Transformer","insensitive"
"SEC-LAY-001","Security Layer","A-C","Token vault and authentication interceptor for all cross-boundary traffic","SL,Auth Layer,SecLayer","insensitive"
"SVC-DOC-001","Document Ingestion Service","A-S","Service wrapper around the Ingestion Controller for API consumption","DIS,Doc Ingest Service","insensitive"
"SVC-XFR-001","Data Transformation Service","A-S","Service wrapper around the Transform Engine for external API exposure","DTS,Data Xform Service","insensitive"
"SVC-AUD-001","Audit Logger","A-S","Security audit trail service that logs all cross-boundary message traffic","AL,Audit Log","insensitive"
"EXT-DOC-001","Docling Service","EXT","External Python service for parsing PDFs Word docs and images into structured text","Docling","insensitive"
"EXT-TES-001","Tesseract OCR","EXT","Open-source OCR engine used for forced text extraction on scanned documents","Tesseract,OCR","insensitive"
"EXT-ERP-001","Legacy ERP","EXT","Corporate SAP enterprise resource planning system for financial and inventory data","SAP,ERP","insensitive"
"EXT-PAY-001","Payment Provider","EXT","External payment gateway handling Stripe and PayPal webhook events","Stripe,PayPal,Payment Gateway","insensitive"
"EXT-IDP-001","Identity Provider","EXT","Corporate OAuth2 and OIDC server for authentication and authorization","IDP,OAuth Server,SSO","insensitive"
"EXT-HIN-001","Hindsight","EXT","Memory bank service for enterprise semantic search and cross-document reasoning","HS","insensitive"
"EXT-SIE-001","SIEM","EXT","Security Information and Event Management system for audit log ingestion","Security Monitor,SEIM","insensitive"
"CAP-DOC-001","Ingest and Classify Documentation","B-C","Capability to receive and categorize enterprise documentation by type and source","Doc Ingestion,Document Classification","insensitive"
"CAP-DOC-002","Normalize Unstructured Content","B-C","Capability to convert messy unstructured documents into clean structured markdown","Content Normalization,Text Cleanup","insensitive"
"CAP-DAT-001","Secure Document Storage","B-C","Capability to store uploaded files with integrity hashing and version tracking","Doc Storage,File Vault","insensitive"
"CAP-INT-001","Enterprise System Interoperability","B-C","Capability to connect disparate internal and external systems through standard protocols","System Integration,Interop","insensitive"
"CAP-INT-002","Reliable Message Routing","B-C","Capability to asynchronously route messages between systems with retry and dead-letter handling","Message Routing,Async Routing","insensitive"
"CAP-INT-003","Data Format Transformation","B-C","Capability to transform data between JSON XML and markdown representations","Data Conversion,Format Xform","insensitive"
"CAP-SEC-001","Identity and Access Management","B-C","Capability to authenticate and authorize all cross-boundary requests with audit trails","IAM,Access Control","insensitive"
